[DEBUG] - 2022-04-07 15:42:39,879 - Test <^_^>
[INFO] - 2022-04-07 15:42:39,892 -  * Running on all addresses (0.0.0.0)
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://127.0.0.1:5000
 * Running on http://23.95.170.202:5000 (Press CTRL+C to quit)
[INFO] - 2022-04-07 15:43:02,896 - 127.0.0.1 - - [07/Apr/2022 15:43:02] "GET / HTTP/1.0" 200 -
[INFO] - 2022-04-07 15:43:02,950 - 127.0.0.1 - - [07/Apr/2022 15:43:02] "GET /static/css/style.css HTTP/1.0" 200 -
[INFO] - 2022-04-07 15:43:04,322 - 127.0.0.1 - - [07/Apr/2022 15:43:04] "GET /blog HTTP/1.0" 200 -
[INFO] - 2022-04-07 15:43:04,366 - 127.0.0.1 - - [07/Apr/2022 15:43:04] "[36mGET /static/css/style.css HTTP/1.0[0m" 304 -
[INFO] - 2022-04-07 15:43:04,987 - 127.0.0.1 - - [07/Apr/2022 15:43:04] "GET / HTTP/1.0" 200 -
[INFO] - 2022-04-07 15:43:05,033 - 127.0.0.1 - - [07/Apr/2022 15:43:05] "[36mGET /static/css/style.css HTTP/1.0[0m" 304 -
[INFO] - 2022-04-07 15:43:10,582 - 127.0.0.1 - - [07/Apr/2022 15:43:10] "GET / HTTP/1.0" 200 -
[INFO] - 2022-04-07 15:43:10,639 - 127.0.0.1 - - [07/Apr/2022 15:43:10] "[36mGET /static/css/style.css HTTP/1.0[0m" 304 -
[INFO] - 2022-04-07 15:43:11,553 - 127.0.0.1 - - [07/Apr/2022 15:43:11] "GET / HTTP/1.0" 200 -
[INFO] - 2022-04-07 15:43:11,605 - 127.0.0.1 - - [07/Apr/2022 15:43:11] "[36mGET /static/css/style.css HTTP/1.0[0m" 304 -
[INFO] - 2022-04-07 15:43:12,484 - 127.0.0.1 - - [07/Apr/2022 15:43:12] "GET / HTTP/1.0" 200 -
[INFO] - 2022-04-07 15:43:12,544 - 127.0.0.1 - - [07/Apr/2022 15:43:12] "[36mGET /static/css/style.css HTTP/1.0[0m" 304 -
[INFO] - 2022-04-07 15:43:13,334 - 127.0.0.1 - - [07/Apr/2022 15:43:13] "GET / HTTP/1.0" 200 -
[INFO] - 2022-04-07 15:43:13,386 - 127.0.0.1 - - [07/Apr/2022 15:43:13] "[36mGET /static/css/style.css HTTP/1.0[0m" 304 -
[INFO] - 2022-04-07 15:43:15,482 - 127.0.0.1 - - [07/Apr/2022 15:43:15] "GET / HTTP/1.0" 200 -
[INFO] - 2022-04-07 15:43:15,536 - 127.0.0.1 - - [07/Apr/2022 15:43:15] "[36mGET /static/css/style.css HTTP/1.0[0m" 304 -
[INFO] - 2022-04-07 15:43:16,227 - 127.0.0.1 - - [07/Apr/2022 15:43:16] "GET / HTTP/1.0" 200 -
[INFO] - 2022-04-07 15:43:16,280 - 127.0.0.1 - - [07/Apr/2022 15:43:16] "[36mGET /static/css/style.css HTTP/1.0[0m" 304 -
[INFO] - 2022-04-07 15:43:17,090 - 127.0.0.1 - - [07/Apr/2022 15:43:17] "GET / HTTP/1.0" 200 -
[INFO] - 2022-04-07 15:43:17,143 - 127.0.0.1 - - [07/Apr/2022 15:43:17] "[36mGET /static/css/style.css HTTP/1.0[0m" 304 -
[INFO] - 2022-04-07 15:43:22,828 - 127.0.0.1 - - [07/Apr/2022 15:43:22] "GET / HTTP/1.0" 200 -
[INFO] - 2022-04-07 15:43:22,877 - 127.0.0.1 - - [07/Apr/2022 15:43:22] "[36mGET /static/css/style.css HTTP/1.0[0m" 304 -
[INFO] - 2022-04-07 15:43:29,253 - 127.0.0.1 - - [07/Apr/2022 15:43:29] "GET / HTTP/1.0" 200 -
[INFO] - 2022-04-07 15:43:29,302 - 127.0.0.1 - - [07/Apr/2022 15:43:29] "[36mGET /static/css/style.css HTTP/1.0[0m" 304 -
[INFO] - 2022-04-07 15:43:31,617 - 127.0.0.1 - - [07/Apr/2022 15:43:31] "GET /blog HTTP/1.0" 200 -
[INFO] - 2022-04-07 15:43:31,669 - 127.0.0.1 - - [07/Apr/2022 15:43:31] "[36mGET /static/css/style.css HTTP/1.0[0m" 304 -
[INFO] - 2022-04-07 15:43:32,352 - 127.0.0.1 - - [07/Apr/2022 15:43:32] "GET / HTTP/1.0" 200 -
[INFO] - 2022-04-07 15:43:32,405 - 127.0.0.1 - - [07/Apr/2022 15:43:32] "[36mGET /static/css/style.css HTTP/1.0[0m" 304 -
[INFO] - 2022-04-07 15:46:24,037 - 127.0.0.1 - - [07/Apr/2022 15:46:24] "[33mPOST /GponForm/diag_Form?style/ HTTP/1.0[0m" 404 -
[DEBUG] - 2022-04-07 10:52:34,967 - Test <^_^>
[WARNING] - 2022-04-07 10:52:35,919 -  * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
[INFO] - 2022-04-07 10:52:35,920 -  * Running on http://10.228.20.77:5000/ (Press CTRL+C to quit)
[INFO] - 2022-04-07 10:52:59,800 - 127.0.0.1 - - [07/Apr/2022 10:52:59] "GET / HTTP/1.1" 200 -
[INFO] - 2022-04-07 10:52:59,893 - 127.0.0.1 - - [07/Apr/2022 10:52:59] "GET /static/css/style.css HTTP/1.1" 200 -
[INFO] - 2022-04-07 10:53:00,053 - 127.0.0.1 - - [07/Apr/2022 10:53:00] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
[INFO] - 2022-04-07 10:53:03,379 - 127.0.0.1 - - [07/Apr/2022 10:53:03] "GET /blog HTTP/1.1" 200 -
[INFO] - 2022-04-07 10:53:03,412 - 127.0.0.1 - - [07/Apr/2022 10:53:03] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
[INFO] - 2022-04-07 10:53:03,958 - 127.0.0.1 - - [07/Apr/2022 10:53:03] "GET / HTTP/1.1" 200 -
[INFO] - 2022-04-07 10:53:04,266 - 127.0.0.1 - - [07/Apr/2022 10:53:04] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
[INFO] - 2022-04-07 10:53:05,868 - 127.0.0.1 - - [07/Apr/2022 10:53:05] "GET /blog HTTP/1.1" 200 -
[INFO] - 2022-04-07 10:53:05,892 - 127.0.0.1 - - [07/Apr/2022 10:53:05] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
[INFO] - 2022-04-07 10:53:06,309 - 127.0.0.1 - - [07/Apr/2022 10:53:06] "GET / HTTP/1.1" 200 -
[INFO] - 2022-04-07 10:53:06,624 - 127.0.0.1 - - [07/Apr/2022 10:53:06] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
[DEBUG] - 2022-04-07 10:57:04,389 - Application started
[WARNING] - 2022-04-07 10:57:05,250 -  * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
[INFO] - 2022-04-07 10:57:05,250 -  * Running on http://10.228.20.77:5000/ (Press CTRL+C to quit)
